hcpcs,description,minutes_per_unit,unit_basis,group_divisor,family,fraud_vector,mn_rate_per_unit,mn_daily_cap_hours,source,notes,personal_service
99355,Prolonged service outpatient each addl 30 min (retired 2023),30,per_30min,1,prolonged,LOW,,,CPT,,Y
99356,Prolonged service inpatient first hour (retired 2023),60,per_hour,1,prolonged,LOW,,,CPT,,Y
99357,Prolonged service inpatient each addl 30 min (retired 2023),30,per_30min,1,prolonged,LOW,,,CPT,,Y
99417,Prolonged outpatient E/M each 15 min,15,per_15min,1,prolonged,LOW,,,CPT,,Y
99418,Prolonged inpatient E/M each 15 min,15,per_15min,1,prolonged,LOW,,,CPT,,Y
G2212,Prolonged office visit each 15 min (Medicare),15,per_15min,1,prolonged,LOW,,,HCPCS,,Y
G0316,Prolonged hospital inpatient each 15 min,15,per_15min,1,prolonged,LOW,,,HCPCS,,Y
G0317,Prolonged nursing facility each 15 min,15,per_15min,1,prolonged,LOW,,,HCPCS,,Y
G0318,Prolonged home visit each 15 min,15,per_15min,1,prolonged,LOW,,,HCPCS,,Y
99401,Preventive counseling individual 15 min,15,per_session,1,counseling,LOW,,,CPT,,Y
99402,Preventive counseling individual 30 min,30,per_session,1,counseling,LOW,,,CPT,,Y
99403,Preventive counseling individual 45 min,45,per_session,1,counseling,LOW,,,CPT,,Y
99404,Preventive counseling individual 60 min,60,per_session,1,counseling,LOW,,,CPT,,Y
99411,Preventive counseling group 30 min,30,per_session,6,counseling,LOW,,,CPT,group,Y
99412,Preventive counseling group 60 min,60,per_session,6,counseling,LOW,,,CPT,group,Y
99406,Smoking cessation counseling 3-10 min,3,per_session,1,counseling,LOW,,,CPT,lower bound,Y
99407,Smoking cessation counseling more than 10 min,10,per_session,1,counseling,LOW,,,CPT,lower bound,Y
99408,Alcohol/substance screening and brief intervention 15-30 min,15,per_session,1,counseling,LOW,,,CPT,lower bound,Y
99409,Alcohol/substance screening and brief intervention more than 30 min,30,per_session,1,counseling,LOW,,,CPT,lower bound,Y
G0396,Alcohol/substance assessment and intervention 15-30 min,15,per_session,1,counseling,LOW,,,HCPCS,lower bound,Y
G0397,Alcohol/substance assessment and intervention more than 30 min,30,per_session,1,counseling,LOW,,,HCPCS,lower bound,Y
G0442,Annual alcohol misuse screening 15 min,15,per_session,1,counseling,LOW,,,HCPCS,,Y
G0443,Brief alcohol misuse counseling 15 min,15,per_session,1,counseling,LOW,,,HCPCS,,Y
G0444,Annual depression screening 15 min,15,per_session,1,counseling,LOW,,,HCPCS,,Y
G0446,Intensive behavioral therapy for cardiovascular disease 15 min,15,per_session,1,counseling,LOW,,,HCPCS,,Y
G0447,Face-to-face behavioral counseling for obesity 15 min,15,per_session,1,counseling,LOW,,,HCPCS,,Y
99441,Telephone E/M 5-10 min (retired 2025),5,per_session,1,telehealth,LOW,,,CPT,lower bound,Y
99442,Telephone E/M 11-20 min (retired 2025),11,per_session,1,telehealth,LOW,,,CPT,lower bound,Y
99443,Telephone E/M 21-30 min (retired 2025),21,per_session,1,telehealth,LOW,,,CPT,lower bound,Y
98966,Telephone assessment by nonphysician 5-10 min,5,per_session,1,telehealth,LOW,,,CPT,lower bound,Y
98967,Telephone assessment by nonphysician 11-20 min,11,per_session,1,telehealth,LOW,,,CPT,lower bound,Y
98968,Telephone assessment by nonphysician 21-30 min,21,per_session,1,telehealth,LOW,,,CPT,lower bound,Y
99421,Online digital E/M 5-10 min,5,per_session,1,telehealth,LOW,,,CPT,lower bound,Y
99422,Online digital E/M 11-20 min,11,per_session,1,telehealth,LOW,,,CPT,lower bound,Y
99423,Online digital E/M 21 or more min,21,per_session,1,telehealth,LOW,,,CPT,lower bound,Y
98970,Online digital assessment by nonphysician 5-10 min,5,per_session,1,telehealth,LOW,,,CPT,lower bound,Y
98971,Online digital assessment by nonphysician 11-20 min,11,per_session,1,telehealth,LOW,,,CPT,lower bound,Y
98972,Online digital assessment by nonphysician 21 or more min,21,per_session,1,telehealth,LOW,,,CPT,lower bound,Y
T2024,Waiver service assessment/plan of care development (MN Housing Consultation T2024 U8),,per_encounter,1,housing,MED,174.22,,HCPCS; MN HSS,untimed; MN HSS,N
T2022,Case management per month,,per_month,1,case_management,LOW,,,HCPCS,monthly,N
